ms,Sensor 1 (kg),Sensor 2 (kg),Sensor  3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1691100,0,0.0187534,0,0,0,0,0.0187534
1691112,0,0.0656371,0,0,0,0,0.0656371
1691118,0.0541746,0.0281302,0,0,0,0,0.0823048
1691142,0.0541746,0.0187534,0,0,0,0,0.0729281
1691152,0,0,0,0,0,0,0
1691175,0,0,0,0,0,0,0
1691190,0,0.0281302,0,0,0,0,0.0281302
1691205,0.0216699,0.0562603,0,0,0,0,0.0779302
1691228,0,0.0656371,0,0,0,0,0.0656371
1691230,0.0216699,0.00937672,0,0,0,0,0.0310466
1691240,0.0216699,0.00937672,0,0,0,0,0.0310466
1691251,0,0.0843905,0,0,0,0,0.0843905
1691261,0,0.0843905,0,0,0,0,0.0843905
1691270,0,0.0281302,0,0,0,0,0.0281302
1691280,0,0.0468836,0,0,0,0,0.0468836
1691291,0,0.0468836,0,0,0,0,0.0468836
1691300,0.0541746,0.0281302,0,0,0,0,0.0823048
1691310,0,0.0843905,0.0088634,0,0,0,0.0932539
1691334,0.0216699,0,0,0,0,0,0.0216699
1691345,0.0216699,0,0,0,0,0,0.0216699
1691357,0,0.0562603,0,0,0,0,0.0562603
1691362,0,0.131274,0,0,0,0,0.131274
1691385,0.0108349,0.0562603,0,0,0,0,0.0670953
1691395,0,0,0,0,0,0,0
1691414,0.0108349,0.0656371,0,0,0,0,0.076472
1691436,0,0,0,0,0,0,0
1691447,0,0.0937672,0,0,0,0,0.0937672
1691457,0,0.0937672,0,0,0,0,0.0937672
1691468,0.0108349,0.0750138,0,0,0,0,0.0858487
1691478,0,0.0375069,0,0,0,0,0.0375069
1691488,0,0.0375069,0,0,0,0,0.0375069
1691492,0,0.0468836,0,0,0,0,0.0468836
1691507,0,0.0468836,0,0,0,0,0.0468836
1691517,0.0433397,0.0375069,0,0,0,0,0.0808466
1691543,0,0.0281302,0,0,0,0,0.0281302
1691549,0,0.0281302,0,0,0,0,0.0281302
1691553,0,0.00937672,0,0,0,0,0.00937672
1691568,0,0.0187534,0,0,0,0,0.0187534
1691578,0.0108349,0.0468836,0,0,0,0,0.0577185
1691602,0,0.0750138,0,0,0,0,0.0750138
1691604,0.0433397,0.00937672,0,0.0174448,0,0,0.0701613
1691615,0.0433397,0.00937672,0,0.0174448,0,0,0.0701613
1691625,0,0.0562603,0,0,0,0,0.0562603
1691636,0,0.0562603,0,0,0,0,0.0562603
1691648,0,0.0187534,0,0,0,0,0.0187534
1691659,0.0325048,0.0281302,0,0,0,0,0.0606349
1691671,0.0325048,0.0281302,0,0,0,0,0.0606349
1691674,0,0.0375069,0,0,0,0,0.0375069
1691690,0,0,0,0,0,0,0
1691695,0,0,0,0,0,0,0
1691707,0,0.103144,0,0,0,0,0.103144
1691716,0.0216699,0.0750138,0,0,0,0,0.0966836
1691726,0.0216699,0.0750138,0,0,0,0,0.0966836
1691738,0,0.0843905,0,0,0,0,0.0843905
1691748,0,0.0843905,0,0,0,0,0.0843905
1691758,0,0.0375069,0,0,0,0,0.0375069
1691770,0,0.0656371,0,0,0,0,0.0656371
1691780,0,0.0656371,0,0,0,0,0.0656371
1691790,0.0433397,0.0750138,0,0,0,0,0.118353
1691800,0.0108349,0.00937672,0,0,0,0,0.0202117
1691810,0.0108349,0.00937672,0,0,0,0,0.0202117
1691827,0,0.0656371,0,0,0,0,0.0656371
1691830,0,0.0656371,0,0,0,0,0.0656371
1691839,0,0.00937672,0,0.0174448,0,0,0.0268216
1691850,0.0650096,0.0656371,0,0,0,0,0.130647
1691860,0.0650096,0.0656371,0,0,0,0,0.130647
1691867,0.0216699,0.0281302,0,0,0,0,0.0498
1691882,0.0650096,0.0375069,0,0,0,0,0.102516
1691912,0.0650096,0.0375069,0,0,0,0,0.102516
1691918,0,0.0187534,0.0088634,0,0,0,0.0276168
1691928,0.0325048,0.0187534,0,0,0,0,0.0512582
1691957,0,0.131274,0,0,0,0,0.131274
1691960,0.0108349,0,0,0.00872242,0,0,0.0195573
1691970,0.0108349,0,0,0.00872242,0,0,0.0195573
1691983,0.0108349,0.0468836,0,0.0261673,0,0,0.0838858
1691993,0.0108349,0.0468836,0,0.0261673,0,0,0.0838858
1692004,0,0,0,0.00872242,0,0,0.00872242
1692014,0.0108349,0.0281302,0,0,0,0,0.0389651
1692024,0.0108349,0.0281302,0,0,0,0,0.0389651
1692034,0,0.0937672,0,0,0,0,0.0937672
1692038,0,0.0281302,0,0,0,0,0.0281302
1692060,0.0325048,0.0656371,0,0,0,0,0.0981418
1692071,0.0325048,0.0656371,0,0,0,0,0.0981418
1692082,0.0325048,0.0375069,0,0,0,0,0.0700117
1692098,0.0541746,0.0281302,0,0,0,0,0.0823048
1692100,0.0541746,0.0281302,0,0,0,0,0.0823048
1692110,0.0541746,0.0281302,0,0,0,0,0.0823048
1692120,0,0.0656371,0,0,0,0,0.0656371
1692132,0,0.0656371,0,0,0,0,0.0656371
1692142,0.0866794,0.0468836,0,0.00872242,0,0,0.142285
1692164,0,0.0375069,0,0.0261673,0,0,0.0636742
1692174,0,0.0281302,0.895203,1.0903,2.77148,14.5809,2.01364
1692181,0,0.0281302,0.895203,1.0903,2.77148,14.5809,2.01364
1692189,0,0,0.983837,1.29964,3.45748,15,2.28348
1692202,0,0,0.983837,1.29964,3.45748,15,2.28348
1692212,0,0.0187534,0.992701,1.29092,3.44179,14.7556,2.30237
